cluster,movie_id,movie_name,genre
1,tt0023525,The Strange Love of Molly Louvain,"Crime, Drama, Romance"
1,tt0023589,Three Wise Girls,"Comedy, Drama, Romance"
1,tt0023616,Trailing the Killer,"Adventure, Thriller, Western"
1,tt0023622,Trouble in Paradise,"Comedy, Crime, Romance"
4,tt0023649,Vampyr,"Fantasy, Horror"
2,tt0023694,White Zombie,Horror
2,tt0023731,"20, 000 Years in Sing Sing","Crime, Drama, Film-Noir"
1,tt0023808,The Big Chance,"Action, Adventure, Comedy"
4,tt0023902,Godfather Mendoza,"Drama, War"
2,tt0023973,The Eagle and the Hawk,"Action, Drama, War"
0,tt0024044,Gabriel Over the White House,"Drama, Fantasy, Romance"
2,tt0024055,The Ghoul,"Action, Drama, Horror"
1,tt0024083,Hallelujah I'm a Bum,"Comedy, Drama, Musical"
2,tt0024151,I Cover the Waterfront,"Crime, Drama, Romance"
4,tt0024184,The Invisible Man,"Horror, Sci-Fi"
4,tt0024188,Island of Lost Souls,"Film-Noir, Horror, Sci-Fi"
0,tt0024216,King Kong,"Adventure, Horror, Sci-Fi"
1,tt0024262,The Little Giant,"Comedy, Crime, Romance"
3,tt0024264,Little Women,"Drama, Family, Romance"
1,tt0024302,Man's Castle,"Drama, Romance"
1,tt0024480,July 14,"Comedy, Romance"
2,tt0024500,Riders of Destiny,"Music, Romance, Western"
1,tt0024548,She Done Him Wrong,"Comedy, Drama, History"
1,tt0024645,Tarzan the Fearless,"Adventure, Family"
1,tt0024647,The Telegraph Trail,"Action, Adventure, Western"
4,tt0024894,The Black Cat,"Adventure, Crime, Horror"
1,tt0025028,Dames,"Comedy, Music, Musical"
2,tt0025062,Two Monks,"Drama, Horror, Mystery"
1,tt0025134,Four Frightened People,"Adventure, Drama"
2,tt0025204,Green Eyes,Mystery
1,tt0025248,"Workers, Let's Go","Adventure, Comedy, Romance"
2,tt0025271,The House of Mystery,Mystery
1,tt0025316,It Happened One Night,"Comedy, Romance"
1,tt0025335,Judge Priest,"Comedy, Drama, Romance"
2,tt0025480,Bad Seed,"Comedy, Drama, Romance"
2,tt0025543,Mystery Liner,"Adventure, Mystery"
1,tt0025610,Our Daily Bread,"Drama, Romance"
1,tt0025681,The Private Life of Don Juan,"Adventure, Comedy, Romance"
1,tt0025740,Sadie McKee,"Drama, Romance"
2,tt0025896,Tiger Bay,"Crime, Drama, Romance"
2,tt0025898,Toni,"Crime, Drama, Romance"
0,tt0025907,Treasure Island,"Adventure, Family"
1,tt0025919,Twentieth Century,"Comedy, Romance"
1,tt0026023,Zouzou,"Crime, Musical, Romance"
2,tt0026185,The Case of the Lucky Legs,"Comedy, Crime, Mystery"
2,tt0026276,The Devil Is a Woman,"Comedy, Drama, Romance"
2,tt0026556,Justin de Marseille,"Crime, Drama"
2,tt0026606,The Last Journey,"Crime, Drama"
2,tt0026661,Luponini de Chicago,"Action, Comedy, Crime"
4,tt0026663,Mad Love,"Horror, Romance, Sci-Fi"
1,tt0026667,Magnificent Obsession,"Drama, Music, Mystery"
1,tt0026673,The Man from Guntown,"Action, Adventure, Western"
0,tt0026752,Mutiny on the Bounty,"Adventure, Biography, Drama"
1,tt0027042,Steamboat Round the Bend,"Comedy, Drama, Romance"
3,tt0027125,Top Hat,"Comedy, Musical, Romance"
1,tt0027146,Two Sinners,Romance
1,tt0027189,The Wedding Night,"Drama, Romance"
3,tt0027231,Yidl mitn fidl,"Comedy, Musical, Romance"
4,tt0027240,Let's Go with Pancho Villa,"Drama, War"
2,tt0027407,Bullets or Ballots,"Crime, Drama, Film-Noir"
4,tt0027652,Fury,"Crime, Drama, Film-Noir"
2,tt0027764,The House of a Thousand Candles,"Action, Romance"
2,tt0027877,The Leathernecks Have Landed,"Action, Adventure, Romance"
3,tt0027977,Modern Times,"Comedy, Drama, Romance"
3,tt0027996,Mr. Deeds Goes to Town,"Comedy, Drama, Romance"
0,tt0028167,Rembrandt,"Biography, Drama"
0,tt0028203,Romeo and Juliet,"Drama, Romance"
4,tt0028212,Sabotage,"Crime, Thriller"
3,tt0028216,San Francisco,"Drama, Music, Romance"
2,tt0028346,Reefer Madness,"Comedy, Crime, Drama"
4,tt0028511,Winterset,"Crime, Drama, Music"
2,tt0028622,Without Dowry,"Drama, Romance"
2,tt0028663,Dangerous Secrets,"Drama, Romance"
2,tt0028714,Chikemuri Takadanobaba,"Action, Comedy, Drama"
2,tt0028767,Dark Journey,"Adventure, Crime, Romance"
1,tt0028953,The Great Garrick,"Comedy, Romance"
2,tt0029054,It Could Happen to You,"Action, Adventure, Crime"
2,tt0029080,Kid Galahad,"Crime, Drama, Film-Noir"
2,tt0029207,The Mandarin Mystery,"Comedy, Crime, Film-Noir"
1,tt0029209,Manhattan Merry-Go-Round,"Comedy, Drama, Music"
1,tt0029272,Nobody's Wife,"Drama, Romance"
2,tt0029433,Portia on Trial,"Crime, Drama"
3,tt0029583,Snow White and the Seven Dwarfs,"Animation, Adventure, Family"
1,tt0029604,Stage Door,"Comedy, Drama, Romance"
1,tt0029712,Under the Red Robe,"Adventure, Romance"
4,tt0029826,L'étrange Monsieur Victor,"Crime, Drama"
0,tt0029850,Alexander Nevsky,"Action, Biography, Drama"
1,tt0029929,Bluebeard's Eighth Wife,"Comedy, Romance"
1,tt0029939,Born to Be Wild,"Action, Comedy, Drama"
1,tt0029950,The Buccaneer,"Adventure, Biography, Drama"
1,tt0030082,The Drum,"Adventure, War"
4,tt0030341,The Lady Vanishes,"Mystery, Thriller"
1,tt0030409,Man from Music Mountain,"Action, Music, Romance"
0,tt0030418,Marie Antoinette,"Biography, Drama, History"
1,tt0030637,Pygmalion,"Comedy, Drama, Romance"
1,tt0030743,The Shining Hour,"Drama, Music, Romance"
1,tt0030798,Storm Over Bengal,"Action, Adventure, Romance"
1,tt0030845,The Terror of Tiny Town,"Family, Western"
1,tt0030996,You and Me,"Crime, Film-Noir"
2,tt0031055,The Arsenal Stadium Mystery,"Comedy, Crime, Sport"
1,tt0031058,Ask a Policeman,"Adventure, Comedy, Crime"
1,tt0031067,Bachelor Mother,"Comedy, Romance"
2,tt0031068,Back Door to Heaven,"Crime, Drama, Music"
0,tt0031252,Drums Along the Mohawk,"Drama, Romance, War"
